,Source,Term (Months),Interest Rate,Amount of Funds,Funding Type,File Name,Financing_sub_cat
93,Bank of America,,,"$6,500,000",Construction Financing,Carlton-Views-III,Bank Loan
94,VHDA Taxable,360.0,5.75%,"$500,000",Permanent Financing,Carlton-Views-III,State Grant
95,VHDA SPARC,360.0,2.95%,"$900,000",Permanent Financing,Carlton-Views-III,State Grant
96,VHDA Match,360.0,1.95%,"$1,440,000",Permanent Financing,Carlton-Views-III,Public Private Partnership
97,12/15/19,,,Bennett Atwill,Construction Financing,PABP,Other
98,VHDA  Taxable,420.0,5.75%,"$2,500,000",Permanent Financing,PABP,State Grant
99,VHDA REACH,420.0,2.95%,"$1,400,000",Permanent Financing,PABP,State Grant
100,TBD,,,"$5,000,000",Construction Financing,Daffodil-Gardens,Other
101,VHDA REACH,360.0,1.50%,"$1,450,000",Permanent Financing,Daffodil-Gardens,State Grant
102,DHCD HOME,240.0,0.50%,"$700,000",Permanent Financing,Daffodil-Gardens,State Grant
103,DHCD VHTF,240.0,0.50%,"$325,000",Permanent Financing,Daffodil-Gardens,State Grant
104,FHLB AHP,360.0,0.00%,"$160,000",Permanent Financing,Daffodil-Gardens,Federal Home Loan Bank
105,VHDA SIP,,,"$500,000",Grants,Daffodil-Gardens,Public Private Partnership
106,Bay Aging ‐ land donation,,,"$196,328",Subsidized Financing,Daffodil-Gardens,Land Donation
107,VHDA,420.0,4.14%,"$9,196,718",Permanent Financing,Friendship-Court,State Grant
108,Charlottesville Grants,,,"$5,940,000",Permanent Financing,Friendship-Court,Local Grant
109,Sponsor Loan,,,"$1,000,000",Permanent Financing,Friendship-Court,Local Grant
110,Merchants Bank,,,"$8,200,000",Construction Financing,Holley-Point,Bank Loan
111,Merchants Capital,180.0,6.75%,"$2,150,000",Permanent Financing,Holley-Point,Bank Loan
112,"Valhalla Mortgage, LLC",,,"$105,000",Permanent Financing,Holley-Point,Bank Loan
113,Bank of America,,,"$10,000,000",Construction Financing,Brady-Square,Bank Loan
114,VHDA REACH,420.0,2.95%,"$1,320,000",Permanent Financing,Brady-Square,State Grant
115,VHDA Taxable Bonds,420.0,5.50%,"$2,775,000",Permanent Financing,Brady-Square,Public Private Partnership
116,REACH,420.0,2.95%,"$2,000,000",Permanent Financing,,State Grant
117,Taxable REACH,420.0,5.50%,"$1,000,000",Permanent Financing,,State Grant
118,RRHA Seller Note,480.0,0%,"$480,000",Permanent Financing,,Bank Loan
119,"TCB Loan (FHLB, DHCD, other Resources) ",480.0,0%,"$686,774",Permanent Financing,,Federal Home Loan Bank
