,Source,Source type,Term (months),Interest Rate,Amount of Funds,PDF_Filename,Financing Type,Residual Receipts/Deferred Pymt.,Annual Debt Service,Sourcing Type,Application Number,Unnamed: 1,Type of tax credit funding_x,Project Name_x,Project Address,Project City_x,Project Zip Code_x,Project Phone Number,Project County_x,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type_x,Housing Type_x,Total Units_x,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award_x,Total State Award_x,Housing Type_y,Total Units_y,Type of tax credit funding_y,Project Name_y,Project City_y,Project Zip Code_y,Project County_y,Collapsed Construction Type,Construction Type_y,Annual Federal Award_y,Total State Award_y,Total Costs,Land and Acquisition,Construction Costs,Rehabilitation Costs,Construction Contigency,Hard Cost Contingency ,Soft Cost Contingency ,Relocation,Arch/Engineering,CIPF,Legal Fees,Reserves,Other Costs,Developer Fee,Commercial Costs,Construction Cost per Square Foot,Per Unit Cost,True Cash per Unit Cost,#ofPermFinancing Sources,Federal Tax Credit Factor
10,USDA,,360,1.00%,"$1,500,000 ",19-006,Construction Financing,,,Federal Loan,CA-2019-006,,0.09,Mariposa Oaks,"5071 Circle Drive, Mariposa, CA 95338",Mariposa,95338,,Mariposa,5.0,8.0,28.0,1.01,013-050-032,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,24.0,23.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,7.0,1.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: PO Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,494810.0,,At-Risk,24,0.09,Mariposa Oaks,Mariposa,95338,Mariposa,Acquisition & Rehabilitation,Acquisition & Rehabilitation,494810.0,,5894918,1505000.0,0.0,2472000.0,370000.0,,,50000.0,150000,423103,0.0,46532,164442,713840,0.0,136,245622,245622.0,3,0.88818
11,USDA,,360,1.000%,"$1,500,000",19-006,Permanent Financing,,"$38,135",Federal Loan,CA-2019-006,,0.09,Mariposa Oaks,"5071 Circle Drive, Mariposa, CA 95338",Mariposa,95338,,Mariposa,5.0,8.0,28.0,1.01,013-050-032,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,24.0,23.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,7.0,1.0,0.0,Self-Help Enterprises,Betsy McGovern-Garcia,8445 W. Elowin Court (Mailing: PO Box 6520),Visalia,CA,93290.0,5598021653,,Self-Help Enterprises,,,,,AWI Management Corporation,Linda Frazier,120 Center Street P.O. Box 550,Auburn,CA,95604,5307456255,,Self-Help Enterprises,494810.0,,At-Risk,24,0.09,Mariposa Oaks,Mariposa,95338,Mariposa,Acquisition & Rehabilitation,Acquisition & Rehabilitation,494810.0,,5894918,1505000.0,0.0,2472000.0,370000.0,,,50000.0,150000,423103,0.0,46532,164442,713840,0.0,136,245622,245622.0,3,0.88818
12,RBC Capital Markets LIHTC Equity,,,,"$6,533,003 ",19-007,Construction Financing,,,Bank Loan,CA-2019-007,,0.09,Woo-Mehl LIHTC Homes,"Martins Ferry, Weitchpec, CA 95546",Weitchpec,95546,,Humboldt,2.0,2.0,2.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,New Construction and Acquisition & Rehabilitation,Large Family,17.0,16.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,Woo-Mehl LIHTC Homes Limited Partnership,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548.0,7074821506,,Yurok Housing Authority,,,,,Yurok Housing Authority,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548,7074821506,,Yurok Housing Authority,768575.0,,Large Family,17,0.09,Woo-Mehl LIHTC Homes,Weitchpec,95546,Humboldt,New Construction,New Construction and Acquisition & Rehabilitation,768575.0,,8742639,525000.0,4775964.0,993184.0,531796.0,,,0.0,699489,22950,45000.0,401500,147756,600000,0.0,259,514273,514273.0,3,0.85002
13,RBC Capital Markets Solar Equity,,,,"$47,686 ",19-007,Construction Financing,,,Bank Loan,CA-2019-007,,0.09,Woo-Mehl LIHTC Homes,"Martins Ferry, Weitchpec, CA 95546",Weitchpec,95546,,Humboldt,2.0,2.0,2.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,New Construction and Acquisition & Rehabilitation,Large Family,17.0,16.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,Woo-Mehl LIHTC Homes Limited Partnership,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548.0,7074821506,,Yurok Housing Authority,,,,,Yurok Housing Authority,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548,7074821506,,Yurok Housing Authority,768575.0,,Large Family,17,0.09,Woo-Mehl LIHTC Homes,Weitchpec,95546,Humboldt,New Construction,New Construction and Acquisition & Rehabilitation,768575.0,,8742639,525000.0,4775964.0,993184.0,531796.0,,,0.0,699489,22950,45000.0,401500,147756,600000,0.0,259,514273,514273.0,3,0.85002
14,RBC Capital Markets Solar Equity,,,,"$47,686",19-007,Permanent Financing,,,Bank Loan,CA-2019-007,,0.09,Woo-Mehl LIHTC Homes,"Martins Ferry, Weitchpec, CA 95546",Weitchpec,95546,,Humboldt,2.0,2.0,2.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,New Construction and Acquisition & Rehabilitation,Large Family,17.0,16.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,Woo-Mehl LIHTC Homes Limited Partnership,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548.0,7074821506,,Yurok Housing Authority,,,,,Yurok Housing Authority,Nicole Sager,15540 US Hwy 101 North,Klamath,CA,95548,7074821506,,Yurok Housing Authority,768575.0,,Large Family,17,0.09,Woo-Mehl LIHTC Homes,Weitchpec,95546,Humboldt,New Construction,New Construction and Acquisition & Rehabilitation,768575.0,,8742639,525000.0,4775964.0,993184.0,531796.0,,,0.0,699489,22950,45000.0,401500,147756,600000,0.0,259,514273,514273.0,3,0.85002
15,RBC Capital Markets LIHTC Equity,,,,"$8,475,296 ",19-009,Construction Financing,,,Bank Loan,CA-2019-009,,0.09,QHA Homes II,"607 Ironwood Terrace, Winterhaven, CA 92283",Winterhaven,92283,,Imperial,56.0,40.0,51.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,Acquisition & Rehabilitation,Large Family,38.0,37.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,0.0,15.0,0.0,0.0,QHA Homes II Limited Partnership,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283.0,7605720243,,Quechan Housing Authority,,,,,Quechan Housing Authority,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283,7605720243,,Quechan Housing Authority,997076.0,2368052.0,Large Family,38,0.09,QHA Homes II,Winterhaven,92283,Imperial,Acquisition & Rehabilitation,Acquisition & Rehabilitation,997076.0,2368052.0,13816658,3370000.0,0.0,7261711.0,710539.0,,,25000.0,530876,38000,150000.0,420066,185466,1125000,0.0,125,363596,363596.0,3,0.85002
16,RBC Capital Markets Solar Equity,,,,"$145,323 ",19-009,Construction Financing,,,Bank Loan,CA-2019-009,,0.09,QHA Homes II,"607 Ironwood Terrace, Winterhaven, CA 92283",Winterhaven,92283,,Imperial,56.0,40.0,51.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,Acquisition & Rehabilitation,Large Family,38.0,37.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,0.0,15.0,0.0,0.0,QHA Homes II Limited Partnership,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283.0,7605720243,,Quechan Housing Authority,,,,,Quechan Housing Authority,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283,7605720243,,Quechan Housing Authority,997076.0,2368052.0,Large Family,38,0.09,QHA Homes II,Winterhaven,92283,Imperial,Acquisition & Rehabilitation,Acquisition & Rehabilitation,997076.0,2368052.0,13816658,3370000.0,0.0,7261711.0,710539.0,,,25000.0,530876,38000,150000.0,420066,185466,1125000,0.0,125,363596,363596.0,3,0.85002
17,RBC Capital Markets State Equity,,,,"$1,776,039 ",19-009,Construction Financing,,,Bank Loan,CA-2019-009,,0.09,QHA Homes II,"607 Ironwood Terrace, Winterhaven, CA 92283",Winterhaven,92283,,Imperial,56.0,40.0,51.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,Acquisition & Rehabilitation,Large Family,38.0,37.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,0.0,15.0,0.0,0.0,QHA Homes II Limited Partnership,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283.0,7605720243,,Quechan Housing Authority,,,,,Quechan Housing Authority,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283,7605720243,,Quechan Housing Authority,997076.0,2368052.0,Large Family,38,0.09,QHA Homes II,Winterhaven,92283,Imperial,Acquisition & Rehabilitation,Acquisition & Rehabilitation,997076.0,2368052.0,13816658,3370000.0,0.0,7261711.0,710539.0,,,25000.0,530876,38000,150000.0,420066,185466,1125000,0.0,125,363596,363596.0,3,0.85002
18,RBC Capital Markets Solar Equity,,,,"$145,323",19-009,Permanent Financing,,,Bank Loan,CA-2019-009,,0.09,QHA Homes II,"607 Ironwood Terrace, Winterhaven, CA 92283",Winterhaven,92283,,Imperial,56.0,40.0,51.0,9400.0,N/A - Tribal Trust Land,Preliminary Reservation,,,Acquisition & Rehabilitation,Large Family,38.0,37.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,0.0,15.0,0.0,0.0,QHA Homes II Limited Partnership,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283.0,7605720243,,Quechan Housing Authority,,,,,Quechan Housing Authority,Cliff O'Neill,1860 Sapphire Lane,Winterhaven,CA,92283,7605720243,,Quechan Housing Authority,997076.0,2368052.0,Large Family,38,0.09,QHA Homes II,Winterhaven,92283,Imperial,Acquisition & Rehabilitation,Acquisition & Rehabilitation,997076.0,2368052.0,13816658,3370000.0,0.0,7261711.0,710539.0,,,25000.0,530876,38000,150000.0,420066,185466,1125000,0.0,125,363596,363596.0,3,0.85002
19,PNC Bank - HUD 221(d)4,,420,5.00%,"$10,000,000 ",19-010,Construction Financing,,,Bank Loan,CA-2019-010,,0.09,Cameron Villa Apartments,"160 Mark Randy Place, Modesto, CA 95350",Modesto,95350,,Stanislaus,12.0,5.0,10.0,9.09,120-052-032-000,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,68.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,21.0,0.0,26.0,0.0,0.0,Cameron Villa 2018 Limited Partnership,Ajay Nayar,25250 Harper Avenue,Detroit,MI,48225.0,4242734599,,AOF Cameron Villa LLC,"American Community Developers, Inc.",,,,Independent Management Serivces,Frank Carswell,14381 North Road,Fenton,Mi,chigan 4843,8107507000,,"American Community Developers, Inc.",951119.0,,At-Risk,68,0.09,Cameron Villa Apartments,Modesto,95350,Stanislaus,Acquisition & Rehabilitation,Acquisition & Rehabilitation,951119.0,,19151563,10287000.0,0.0,4287827.0,426335.0,,,75000.0,98215,1183002,172500.0,254004,367680,2000000,0.0,78,281641,274328.0,3,0.90991
20,"CREA, Tax Credit Equity",,,,"$7,356,169 ",19-010,Construction Financing,,,Federal Credit,CA-2019-010,,0.09,Cameron Villa Apartments,"160 Mark Randy Place, Modesto, CA 95350",Modesto,95350,,Stanislaus,12.0,5.0,10.0,9.09,120-052-032-000,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,68.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,21.0,0.0,26.0,0.0,0.0,Cameron Villa 2018 Limited Partnership,Ajay Nayar,25250 Harper Avenue,Detroit,MI,48225.0,4242734599,,AOF Cameron Villa LLC,"American Community Developers, Inc.",,,,Independent Management Serivces,Frank Carswell,14381 North Road,Fenton,Mi,chigan 4843,8107507000,,"American Community Developers, Inc.",951119.0,,At-Risk,68,0.09,Cameron Villa Apartments,Modesto,95350,Stanislaus,Acquisition & Rehabilitation,Acquisition & Rehabilitation,951119.0,,19151563,10287000.0,0.0,4287827.0,426335.0,,,75000.0,98215,1183002,172500.0,254004,367680,2000000,0.0,78,281641,274328.0,3,0.90991
21,PNC Bank - HUD 221(d)4,,420,5.000%,"$10,000,000",19-010,Permanent Financing,,"$630,625",Bank Loan,CA-2019-010,,0.09,Cameron Villa Apartments,"160 Mark Randy Place, Modesto, CA 95350",Modesto,95350,,Stanislaus,12.0,5.0,10.0,9.09,120-052-032-000,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,68.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,21.0,0.0,26.0,0.0,0.0,Cameron Villa 2018 Limited Partnership,Ajay Nayar,25250 Harper Avenue,Detroit,MI,48225.0,4242734599,,AOF Cameron Villa LLC,"American Community Developers, Inc.",,,,Independent Management Serivces,Frank Carswell,14381 North Road,Fenton,Mi,chigan 4843,8107507000,,"American Community Developers, Inc.",951119.0,,At-Risk,68,0.09,Cameron Villa Apartments,Modesto,95350,Stanislaus,Acquisition & Rehabilitation,Acquisition & Rehabilitation,951119.0,,19151563,10287000.0,0.0,4287827.0,426335.0,,,75000.0,98215,1183002,172500.0,254004,367680,2000000,0.0,78,281641,274328.0,3,0.90991
