,Project Name,Financing_sub_cat,Interest Rate,Funding Type,Project Type,Amount of Funds,State,0,Total Units
7894,WoosterLofts,Bank Loan,,Construction Financing,Family,6250000.0,Ohio,,52.0
7906,WoosterLofts,Other,,Construction Financing,Family,1250000.0,Ohio,,52.0
7918,WoosterLofts,Other,,Construction Financing,Family,744459.0,Ohio,,52.0
7930,WoosterLofts,Tax Credit,,Permanent Financing,Family,7371621.0,Ohio,,52.0
7942,WoosterLofts,State Housing Credit Equity,,Permanent Financing,Family,300000.0,Ohio,,52.0
7954,WoosterLofts,Deferred Developer Fee,,Permanent Financing,Family,77487.0,Ohio,,52.0
7966,WoosterLofts,Bank Loan,,Permanent Financing,Family,1350000.0,Ohio,,52.0
7978,WoosterLofts,Bank Loan,,Permanent Financing,Family,250000.0,Ohio,,52.0
7990,WoosterLofts,Other,,Permanent Financing,Family,10000.0,Ohio,,52.0
9255,CampbellLandingApartments,Deferred Developer Fee,,Construction Financing,Family,1660175.09,Ohio,,52.0
9261,CampbellLandingApartments,Bank Loan,,Construction Financing,Family,5829113.03,Ohio,,52.0
9267,CampbellLandingApartments,Other,,Construction Financing,Family,1250000.0,Ohio,,52.0
9273,CampbellLandingApartments,Tax Credit,,Permanent Financing,Family,7222000.0,Ohio,,52.0
9279,CampbellLandingApartments,Deferred Developer Fee,,Permanent Financing,Family,208088.11,Ohio,,52.0
9285,CampbellLandingApartments,Bank Loan,,Permanent Financing,Family,1309200.0,Ohio,,52.0
10105,canaancrssgg,Deferred Developer Fee,,Construction Financing,Family,16067.0,Georgia,,60.0
10114,canaancrssgg,Deferred Developer Fee,0.0,Permanent Financing,Family,16067.0,Georgia,,60.0
10123,canaancrssgg,Federal Housing Credit Equity,,Construction Financing,Family,746925.0,Georgia,,60.0
10132,canaancrssgg,Federal Housing Credit Equity,,Permanent Financing,Family,7469253.0,Georgia,,60.0
10141,canaancrssgg,Bank Loan,5.2299999999999995,Construction Financing,Family,8840000.0,Georgia,,60.0
10150,canaancrssgg,Bank Loan,1.0,Permanent Financing,Family,1350000.0,Georgia,,60.0
10159,canaancrssgg,Bank Loan,0.0,Construction Financing,Family,1350000.0,Georgia,,60.0
10168,canaancrssgg,State Housing Credit Equity,,Construction Financing,Family,418458.0,Georgia,,60.0
10177,canaancrssgg,State Housing Credit Equity,,Permanent Financing,Family,4184582.0,Georgia,,60.0
10222,symphony,Deferred Developer Fee,0.0,Permanent Financing,Family,652.6,Georgia,,60.0
10233,symphony,Federal Housing Credit Equity,,Construction Financing,Family,4563450.51,Georgia,,60.0
10244,symphony,Federal Housing Credit Equity,,Permanent Financing,Family,6519215.01,Georgia,,60.0
10255,symphony,Bank Loan,7.75,Construction Financing,Family,6106000.0,Georgia,,60.0
10266,symphony,Bank Loan,5.4,Permanent Financing,Family,1001065.0,Georgia,,60.0
10277,symphony,Bank Loan,2.7,Construction Financing,Family,610000.0,Georgia,,60.0
10288,symphony,Bank Loan,2.7,Permanent Financing,Family,610000.0,Georgia,,60.0
10299,symphony,Bank Loan,2.7,Construction Financing,Family,245000.0,Georgia,,60.0
10310,symphony,Bank Loan,2.7,Permanent Financing,Family,245000.0,Georgia,,60.0
10321,symphony,State Housing Credit Equity,,Construction Financing,Family,2675393.7,Georgia,,60.0
10332,symphony,State Housing Credit Equity,,Permanent Financing,Family,3821991.0,Georgia,,60.0
11363,flatssamlaneg,Deferred Developer Fee,0.0,Permanent Financing,Family,343912.0,Georgia,,72.0
11371,flatssamlaneg,Federal Housing Credit Equity,,Construction Financing,Family,1136000.0,Georgia,,72.0
11379,flatssamlaneg,Federal Housing Credit Equity,,Permanent Financing,Family,7573000.0,Georgia,,72.0
11387,flatssamlaneg,Bank Loan,5.5,Construction Financing,Family,10000000.0,Georgia,,72.0
11395,flatssamlaneg,Bank Loan,1.0,Permanent Financing,Family,2000000.0,Georgia,,72.0
11403,flatssamlaneg,Bank Loan,0.0,Construction Financing,Family,2000000.0,Georgia,,72.0
11411,flatssamlaneg,State Housing Credit Equity,,Construction Financing,Family,714000.0,Georgia,,72.0
11419,flatssamlaneg,State Housing Credit Equity,,Permanent Financing,Family,4757000.0,Georgia,,72.0
11508,pineviewtraceg,Deferred Developer Fee,0.0,Permanent Financing,Family,33811.0,Georgia,,50.0
11520,pineviewtraceg,Deferred Developer Fee,0.0,Permanent Financing,Family,33811.0,Georgia,,50.0
11532,pineviewtraceg,Federal Housing Credit Equity,,Construction Financing,Family,1435309.0,Georgia,,50.0
11544,pineviewtraceg,Federal Housing Credit Equity,,Permanent Financing,Family,7176545.0,Georgia,,50.0
11556,pineviewtraceg,Federal Housing Credit Equity,,Construction Financing,Family,1435309.0,Georgia,,50.0
11568,pineviewtraceg,Federal Housing Credit Equity,,Permanent Financing,Family,7176545.0,Georgia,,50.0
11580,pineviewtraceg,Bank Loan,6.0,Construction Financing,Family,6954768.0,Georgia,,50.0
11592,pineviewtraceg,Bank Loan,6.0,Construction Financing,Family,6954768.0,Georgia,,50.0
11604,pineviewtraceg,State Housing Credit Equity,,Construction Financing,Family,611601.0,Georgia,,50.0
11616,pineviewtraceg,State Housing Credit Equity,,Permanent Financing,Family,3058005.0,Georgia,,50.0
11628,pineviewtraceg,State Housing Credit Equity,,Construction Financing,Family,611601.0,Georgia,,50.0
11640,pineviewtraceg,State Housing Credit Equity,,Permanent Financing,Family,3058005.0,Georgia,,50.0
